Gene,T1_exp,T1_ana,lambda,Half-life,total_time,alpha
araE,22.5185,22.706,47.37573329,498,69.89423329,0.021107853
rimK,13.85,14.0255,30.52355652,264,44.37355652,0.032761582
cstA,33.6417,33.8641,28.18590433,276,61.82760433,0.035478727
araC,15.7025,15.8746,22.00885372,294,37.71135372,0.04543626
damX,20.6163,20.843,19.16900412,150,39.78530412,0.052167551
yeiH,16.77,16.894,17.99435041,396,34.76435041,0.055572998
dnaX,32.2019,32.3053,16.99103296,150,49.19293296,0.058854574
ycaD,18.9344,19.0654,16.70130887,324,35.63570887,0.059875547
menA,14.6747,14.8095,15.89501031,1146,30.56971031,0.062912825
alaS,39.6104,39.7527,13.92348833,120,53.53388833,0.071821082
topA,41.8578,41.9768,13.66754639,180,55.52534639,0.073166022
proS,26.1832,26.3153,13.22411876,168,39.40731876,0.075619406
nagE,30.7684,30.9129,12.35606042,552,43.12446042,0.080931945
clpX,18.6033,18.6958,11.87130503,126,30.47460503,0.084236737
phoB,11.0314,11.2784,11.59690454,294,22.62830454,0.086229907
aroB,16.8738,16.9991,11.42015706,102,28.29395706,0.08756447
ybhC,20.4551,20.6214,11.20649708,384,31.66159708,0.08923395
mutS,39.4598,39.505,9.962003485,330,49.42180348,0.100381414
yacC,5.8335,6.0256,9.898810798,414,15.7323108,0.101022236
ygiW,5.8232,6.0203,9.651758137,954,15.47495814,0.103608067
yhbY,4.6833,4.8253,9.283828395,150,13.9671284,0.107714184
yicH,29.4215,29.5725,9.136551899,162,38.5580519,0.109450481
tyrS,20.171,20.308,9.014115059,120,29.18511506,0.110937124
rpoD,27.5883,27.6682,8.847597349,144,36.43589735,0.113025035
nhaA,17.9021,18.0158,8.637606834,396,26.53970683,0.115772808
cysM,13.8412,13.9591,8.612081083,174,22.45328108,0.116115953
bioA,22.6312,22.7728,8.385164158,132,31.01636416,0.11925825
glnS,26.0016,26.0784,8.050187456,144,34.05178746,0.12422071
rpsA,22.3824,22.4792,7.929947227,252,30.31234723,0.126104244
serS,19.3952,19.4853,7.863083247,156,27.25828325,0.127176575
trxB,14.7066,14.8329,7.830514242,234,22.53711424,0.127705534
yhaH,5.9121,6.0929,7.179383076,384,13.09148308,0.139287734
yhgF,36.2284,36.2955,7.152177114,168,43.38057711,0.139817567
ydgA,25.607,25.7261,6.825479393,132,32.43247939,0.146509856
yeiP,8.934,9.0845,6.75086517,228,15.68486517,0.148129162
guaA,24.0241,24.0667,6.613168821,138,30.63726882,0.151213439
queA,17.2075,17.3114,6.39544731,954,23.60294731,0.156361229
acnA,43.9108,43.9986,6.310592536,162,50.22139254,0.158463725
fabB,18.2636,18.3442,6.224042088,102,24.48764209,0.160667294
yeiE,13.6846,13.7827,6.087069095,324,19.7716691,0.164282676
asnS,21.554,21.7194,5.983435338,102,27.53743534,0.16712807
pncB,20.2455,20.3629,5.825164967,180,26.07066497,0.171668958
dapB,12.9617,13.0669,5.772144588,210,18.73384459,0.173245833
ybjN,8.0676,8.2829,5.696060923,342,13.76366092,0.17555992
ybfE,4.072,4.1962,5.641603289,264,9.713603289,0.177254576
ahpF,23.3921,23.4665,5.621506065,150,29.01360607,0.177888272
purL ,61.8874,61.9163,5.620434858,126,67.50783486,0.177922176
dnaK,28.3512,28.4524,5.589414416,144,33.94061442,0.178909618
glmS,26.9864,27.0502,5.571907184,168,32.55830718,0.179471762
ybiT,24.872,24.9153,5.562744568,306,30.43474457,0.179767377
potF,18.456,18.5763,5.249462416,252,23.70546242,0.190495697
cspD,3.8309,3.9999,5.233104424,924,9.064004424,0.191091161
mglB,15.758,15.8855,5.223762123,624,20.98176212,0.191432913
polA,44.8044,44.9415,5.02848202,180,49.83288202,0.198867172
aroG,16.9942,17.0728,4.904527664,156,21.89872766,0.203893233
acnB,40.7219,40.7412,4.856708876,126,45.57860888,0.20590075
clpP,10.012,10.1689,4.788969394,150,14.80096939,0.208813195
fldA,7.9518,8.132,4.657842852,162,12.60964285,0.214691657
rpsT,4.0088,4.1407,4.354130186,144,8.362930186,0.229666996
pflA,12.0992,12.2681,4.334296318,258,16.43349632,0.230717959
pflB,35.6944,35.8073,4.328400545,348,40.02280055,0.231032223
serC,17.6632,17.7228,4.30292099,120,21.96612099,0.23240027
pmbA,21.8733,21.9742,4.280493808,174,26.15379381,0.233617906
dnaJ,17.8022,17.855,4.187463504,150,21.9896635,0.238808051
secA,41.8773,41.9156,4.0564821,156,45.9337821,0.246519022
nadC,14.1528,14.2225,4.013277093,156,18.16607709,0.249172927
aroA,19.4866,19.6186,3.997931454,114,23.48453145,0.250129351
metG,33.162,33.2434,3.770674718,126,36.93267472,0.265204526
ribA,9.7412,9.892,3.733665159,168,13.47486516,0.267833337
ybiC,19.8587,19.9431,3.618447364,228,23.47714736,0.276361627
glnH,11.6479,11.7472,3.30262283,342,14.95052283,0.302789647
ybfF,12.7569,12.8428,3.248482771,180,16.00538277,0.307836018
metK,18.016,18.0966,3.247673057,102,21.26367306,0.307912768
yhhX,17.2497,17.3555,3.244762515,174,20.49446251,0.308188965
ybhB,8.3192,8.4315,3.241265742,324,11.56046574,0.308521448
asnB,27.1312,27.2119,3.240128239,192,30.37132824,0.30862976
ychF,16.7291,16.8092,3.217986703,162,19.9470867,0.310753304
ybjG,10.44,10.5454,3.191527749,492,13.63152775,0.313329565
gdhA,22.6026,22.6252,3.16655296,138,25.76915296,0.315800813
nupC,18.9047,18.9219,3.136113434,168,22.04081343,0.318866017
yccA,9.9797,10.0638,2.876013739,156,12.85571374,0.347703485
serA,19.2523,19.2914,2.823825747,102,22.07612575,0.3541295
ydgH,14.8907,15.0023,2.763066991,174,17.65376699,0.361916668
leuL,1.1462,1.3545,2.634255024,420,3.780455024,0.379613967
metF,14.4341,13.523,2.492531007,126,16.92663101,0.40119862
yaaA,13.0615,13.2024,2.430843757,228,15.49234376,0.411379792
ilvC,22.5962,22.635,2.288277459,84,24.88447746,0.437009942
ygiM,10.622,10.7214,2.232677482,228,12.85467748,0.447892724
cysK,15.3355,15.4171,2.069114516,144,17.40461452,0.483298528
metA,15.7812,15.8229,2.048068995,126,17.82926899,0.488264801
talB,13.4016,13.4269,2.006296764,204,15.40789676,0.498430749
rpsL,5.2772,5.3821,1.943649863,480,7.220849863,0.514495959
metC,20.632,20.6537,1.888475847,180,22.52047585,0.529527556
aspC,19.0266,19.0304,1.779513609,258,20.80611361,0.561951308
gpmA,10.3676,10.4654,1.722377089,174,12.08997709,0.580592953
artJ,12.9135,13.0224,1.595065834,246,14.50856583,0.626933371
infA,3.1868,3.2838,1.45129977,204,4.63809977,0.689037524
gltA,21.4255,21.4408,1.351788811,138,22.77728881,0.739760525
nrdA,36.6316,36.6334,1.007344583,144,37.63894458,0.992708967
ybiJ,4.0435,4.1471,0.734430177,228,4.777930177,1.361599825
rpsU,2.6773,2.7628,0.71704153,162,3.39434153,1.394619361
ahpC,8.7284,8.7535,0.394694884,1086,9.123094884,2.533602641